Date,Semaine,Jour,Pilier,Feature/Thème,Accroche,Corps du post,CTA,Format,Statut,Image_URL
2026-03-16,S1,Lundi,Éducatif,Conseils job search,"En 2026, encore un Excel pour suivre tes candidatures ?","En 2026, encore un Excel pour suivre tes candidatures ?

On a tous fait ça.
Onglet 1 : candidatures envoyées.
Onglet 2 : relances.
Onglet 3 : entretiens.

Le problème ?
→ Tu oublies de mettre à jour.
→ Tu ne sais plus qui relancer.
→ Tu n'as aucune alerte automatique.

Les 5 statuts qui changent tout dans une recherche d'emploi :

Envoyée → En attente → Relancée → Entretien → Offre

Chaque statut = une action différente.
Sans suivi structuré, tu perds des opportunités sans t'en rendre compte.

Il existe une alternative gratuite à l'Excel.

👉 https://www.relance-work.fr/","Essaie gratuitement → https://www.relance-work.fr/",Texte long + screenshot,Publié ✅,https://images.unsplash.com/photo-1454165804606-c3d57bc86b40?w=1200&q=80
2026-03-17,S1,Mardi,Démo produit,Agent IA Job Search,"J'ai passé 3h à scraper Indeed. L'IA le fait en 30 secondes.","J'ai passé 3h à scraper Indeed.
L'IA le fait en 30 secondes.

L'Agent IA de RelanceWork scrape, analyse et score chaque offre pour toi.

Tu vois immédiatement :
→ 87% de match
→ Compétences présentes ✅
→ Compétences manquantes ⚠️

4 critères analysés automatiquement :
• Compétences techniques — 40 pts
• Expérience — 25 pts
• Domaine — 20 pts
• Profil global — 15 pts

Total → score 0 à 100.
80+ = candidature prioritaire.

Plus jamais de candidatures dans le vide.

👉 https://www.relance-work.fr/","Démo disponible → https://www.relance-work.fr/",Texte + screenshot score,,
2026-03-18,S1,Mercredi,Problème → Solution,Dashboard & suivi,"Combien de candidatures as-tu envoyées ce mois ?","Combien de candidatures as-tu envoyées ce mois ?

La plupart des chercheurs d'emploi n'ont aucun chiffre.

Si tu ne mesures pas ta recherche d'emploi, tu ne peux pas l'améliorer.

Ton dashboard RelanceWork te donne en temps réel :
→ Candidatures envoyées
→ Réponses reçues
→ Taux de conversion

Un utilisateur est passé de 15% à 32% de taux de réponse en 3 semaines.

La seule différence ?
Il regardait ses données.
Et il agissait en conséquence.

Commence à tracker ta recherche (gratuit) :
👉 https://www.relance-work.fr/","Commence à tracker → https://www.relance-work.fr/ (gratuit)",Texte long,,https://images.unsplash.com/photo-1551288049-bebda4e38f71?w=1200&q=80
2026-03-19,S1,Jeudi,Build in public,Stack technique,"Stack technique de RelanceWork — et pourquoi ces choix","Stack technique de RelanceWork — et pourquoi ces choix.

Node.js + TypeScript → backend robuste et typé
Vite + TypeScript → frontend ultra rapide
Supabase → base de données + auth en 1 outil
Railway → déploiement continu sans friction
Claude (Anthropic) → analyse d'offres + lettres de motivation
Stripe → paiements sécurisés

Chaque outil a été choisi pour une raison précise.
Pas pour suivre une mode.
Pour aller vite sans dette technique.

Construire un SaaS solo en 2026 = choisir ses batailles.

Des questions sur un choix en particulier ?
👇 En commentaires.

Le produit : https://www.relance-work.fr/","Questions sur la stack ? En commentaires — https://www.relance-work.fr/",Thread texte long,,https://images.unsplash.com/photo-1555066931-4365d14bab8c?w=1200&q=80
2026-03-20,S1,Vendredi,Démo produit,Candidatures spontanées IA,"J'ai envoyé 10 candidatures spontanées en 15 minutes — voici le workflow exact","J'ai envoyé 10 candidatures spontanées en 15 minutes.

Voici le workflow exact :

1️⃣ Je tape 'agence web Paris' dans RelanceWork
2️⃣ L'IA trouve 20 entreprises actives avec leurs emails
3️⃣ Elle génère un email personnalisé pour chacune
4️⃣ J'envoie via mon propre Gmail

95% des postes ne sont jamais publiés.
Le marché caché de l'emploi existe vraiment.

Sans cet outil : 2 jours de travail.
Avec : 15 minutes.

Le lien en commentaire 👇

👉 https://www.relance-work.fr/","Voir la démo → https://www.relance-work.fr/",Texte,Publié ✅,
2026-03-21,S1,Samedi,Léger/Humour,UX Dark mode,"Dark mode — parce que le job search ça se fait aussi la nuit","Dark mode — parce que le job search ça se fait aussi la nuit.

Construire RelanceWork la nuit après le boulot.
L'utiliser la nuit pour chercher le prochain.

Le dark mode c'était pas une option. 😅

[Screenshot de l'app en dark mode]

👉 https://www.relance-work.fr/","https://www.relance-work.fr/",Screenshot app,Publié ✅,
2026-03-22,S1,Dimanche,Éducatif,Marché caché emploi,"Le marché caché de l'emploi : 70% des postes ne sont jamais publiés","Le marché caché de l'emploi : 70% des postes ne sont jamais publiés.

La plupart des candidats postulent uniquement sur :
→ LinkedIn
→ Indeed
→ Welcome to the Jungle

C'est 30% du marché.

Les 70% restants ?
Bouche à oreille, candidatures spontanées, réseau interne.

Comment les atteindre :
1. Identifier des entreprises cibles dans ton secteur
2. Trouver le bon contact (email du responsable RH ou manager)
3. Envoyer un email personnalisé AVANT qu'ils recrutent

C'est exactement ce que j'ai automatisé dans RelanceWork.

Thread complet en commentaire 👇

👉 https://www.relance-work.fr/","Thread complet en commentaire — https://www.relance-work.fr/",Texte long éducatif,,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d?w=1200&q=80
2026-03-23,S2,Lundi,Éducatif,Relance post-candidature,"80% des candidats ne relancent jamais. C'est leur plus grande erreur.","80% des candidats ne relancent jamais.

C'est leur plus grande erreur.

Les recruteurs reçoivent des centaines de candidatures.
Ils oublient.
Ce n'est pas malveillant — c'est humain.

Relancer 7 jours après = +23% de taux de réponse.

Le template qui fonctionne :

'Bonjour [Prénom],

Je me permets de revenir vers vous concernant ma candidature pour [Poste] envoyée le [Date].

Je reste très motivé par [élément spécifique de l'entreprise / du poste].

Seriez-vous disponible pour un échange de 15 minutes cette semaine ?'

Court. Personnel. Efficace.

RelanceWork t'envoie une notification automatique au bon moment.
Tu n'oublies plus jamais.

👉 https://www.relance-work.fr/","RelanceWork automatise tes relances → https://www.relance-work.fr/",Texte + template,,https://images.unsplash.com/photo-1506784365847-bbad939e9335?w=1200&q=80
2026-03-24,S2,Mardi,Démo produit,Conseiller IA,"Dépose ton CV + l'URL d'une offre. L'IA fait le reste en 15 secondes.","Dépose ton CV + l'URL d'une offre.
L'IA fait le reste en 15 secondes.

Le Conseiller IA de RelanceWork :
→ Analyse ton CV contre l'offre
→ Te dit tes points forts pour CE poste
→ Identifie ce qu'il faut adapter
→ Te conseille sur ta stratégie de relance

Avant de postuler, tu sais exactement si ça vaut le coup.
Et comment maximiser tes chances.

👉 https://www.relance-work.fr/","Essaie sur https://www.relance-work.fr/",Screenshot résultat analyse,Publié ✅,
2026-03-25,S2,Mercredi,Problème → Solution,Scoring offres,"Score 78% vs score 45% — tu postulais aux deux. Tu ne devrais pas.","Score 78% vs score 45%.

Tu postulais aux deux.
Tu ne devrais pas.

Le temps est ta ressource la plus limitée.
Chaque candidature coûte : lire l'offre, rédiger la lettre, personnaliser le CV.

L'Agent IA de RelanceWork score chaque offre selon ton profil.

Tu priorises les 80+.
Tu ignores les 40-.

Résultat :
→ Moins de candidatures
→ Meilleures candidatures
→ Plus de réponses positives

Priorise enfin ta recherche :
👉 https://www.relance-work.fr/","Priorise tes candidatures → https://www.relance-work.fr/",Texte + screenshot 2 cartes offres,Publié ✅,
